GeneID	GeneSymbol	Type	LFC	FDR
100039293	Duxbl3	mRNA	1.83312202113818	9.17256995931E-4
100039953	Gfy	mRNA	-3.04530056656894	6.64369605974425E-16
100041546	Ly6c2	mRNA	1.50506025793308	2.94057963106059E-8
100043920	Fam205a4	mRNA	2.17457972806567	1.29811752046683E-39
100504239	Gm10591	mRNA	1.59666476414957	1.06314536511836E-8
100504263	2210418O10Rik	mRNA	1.01283134577052	1.11316744465668E-14
100504346	Gm13304	mRNA	1.59666476414957	1.06314536511836E-8
100862177	Ccl21d	mRNA	1.59666476414957	1.06314536511836E-8
100862261	Fam205a3	mRNA	-1.32032146358678	8.73244862404782E-27
101056144	Gm13302	mRNA	1.04289258588607	7.85758458236539E-10
102443351	Xntrpc	mRNA	5.53203899152015	5.29796289198891E-6
102635781	Gm38481	mRNA	1.32316743813744	2.60399632356198E-23
102639653	Gm2007	mRNA	1.09609946920809	6.06793517356184E-21
103611158	Gm38666	mRNA	1.0771977156422	2.9749227359796E-8
105244034	Gm33887	mRNA	1.28412139346303	1.891139263029E-4
105349	Akr1c18	mRNA	-1.49758699487041	3.641858466193221E-15
107303348	Gm45935	mRNA	1.78276177307926	4.98162087392718E-8
108043	Chrnb3	mRNA	2.38020146274352	2.0378416296089499E-16
11440	Chrna6	mRNA	1.86039722612674	2.12794997111975E-15
114640	Pth2	mRNA	-2.03596270198961	4.22856272993258E-5
11694	Alx3	mRNA	-1.62508282818442	6.93567318328613E-22
11695	Alx4	mRNA	-1.35023722433354	2.0630189789563698E-33
11839	Areg	mRNA	-1.72456527459442	2.110415287027E-4
12140	Fabp7	mRNA	-1.62756099841779	0.0
12292	Cacna1s	mRNA	-1.06406323749757	1.61888760218793E-8
12311	Calcr	mRNA	1.32393324309677	4.89368725135837E-7
12425	Cckar	mRNA	1.99378464140444	2.254638973903E-4
12655	Chil3	mRNA	1.89089931452408	9.72353884808839E-24
12722	Clca3a1	mRNA	-2.45095807940042	1.7760137595839098E-36
13035	Ctsg	mRNA	4.5579885819588	7.72108309574859E-6
13087	Cyp2a5	mRNA	-3.50162627433842	2.1648758057032E-11
13162	Slc6a3	mRNA	1.535487869014	6.2845235010961E-49
13190	Dct	mRNA	-1.33594182404333	9.51707510554891E-7
13195	Ddc	mRNA	1.29545589584521	3.29236270961928E-81
13363	Dhh	mRNA	-2.221913127358	1.03259981251409E-5
13488	Drd1	mRNA	1.17325433059911	1.9315133929850003E-21
13489	Drd2	mRNA	1.02389595840962	1.60680177830104E-42
13599	Ecel1	mRNA	1.27461157134762	1.66872074228679E-61
13654	Egr2	mRNA	-1.60696130828218	4.23156707106847E-28
14115	Fbln2	mRNA	-1.17073440343243	1.1938763801491399E-40
14282	Fosb	mRNA	-1.21508192336128	1.00302857777774E-45
14284	Fosl2	mRNA	-1.26279982685681	3.8382388106718E-98
14289	Fpr2	mRNA	1.33210717454248	3.480209281406E-4
14404	Gabre	mRNA	1.08389530216609	1.763380663689E-4
14462	Gata3	mRNA	1.0174202005961	3.07766584145249E-10
14472	Gbx2	mRNA	1.15544202686315	8.69887807601635E-5
14599	Gh	mRNA	-2.07519786527271	2.07105778256211E-9
14963	H2-Bl	mRNA	1.23608343817733	5.170814304382E-4
15077	H3c14	mRNA	-7.28352859241065	7.0110938228014E-18
15221	Foxd3	mRNA	-1.68873316873939	1.93358963591658E-17
15375	Foxa1	mRNA	3.89240762102936	1.23709134256865E-6
15376	Foxa2	mRNA	5.28235413934538	3.74536456453261E-5
15562	Htr4	mRNA	1.04121579156443	4.7473867977902E-9
15567	Slc6a4	mRNA	2.07371575701585	4.57787398685292E-74
16415	Itgb2l	mRNA	2.07395499008843	8.96501492709864E-5
16470	Ush1g	mRNA	-1.0069268492995	6.2227165690668E-32
16534	Kcnn4	mRNA	-1.17502673972716	3.319692151796E-4
16819	Lcn2	mRNA	1.25280801332642	1.1745541339729199E-70
16875	Lhx8	mRNA	3.39197863051987	2.93943851350599E-8
16917	Lmx1b	mRNA	1.01672462416833	7.9798910626148E-7
170813	Ms4a3	mRNA	4.84178154795939	6.014541555984E-4
17201	Mc3r	mRNA	1.68212488197091	1.321121215615E-4
17394	Mmp8	mRNA	1.28924052493061	1.6339859675087E-6
17523	Mpo	mRNA	1.66829872710389	5.38672390119884E-8
17528	Mpz	mRNA	-1.81357028065316	1.74975178989994E-13
17703	Msx3	mRNA	-2.23859186850463	3.760566335224E-4
18054	Ngp	mRNA	1.28347034446171	5.1111151900974E-72
18126	Nos2	mRNA	1.22907405675533	5.30059393046381E-6
18211	Ntrk1	mRNA	1.12422329625244	5.4361906589446296E-11
18249	Obp1a	mRNA	-3.35789079687697	1.685062392843E-4
18378	Omp	mRNA	-4.97582780747456	0.0
18507	Pax5	mRNA	1.69263810865358	4.75749134478635E-9
18509	Pax7	mRNA	1.44041898557763	4.4616535173696393E-11
18703	Pigr	mRNA	-3.2135008875418	4.980762961227E-4
18741	Pitx2	mRNA	2.68650332248148	3.30666576563033E-7
18843	Bpifa1	mRNA	-4.13549837554052	2.60508013073853E-19
18935	Phox2b	mRNA	1.15178357653995	1.64887444997581E-12
18976	Pomc	mRNA	-1.39853278137432	1.41463415573229E-10
18996	Pou4f1	mRNA	1.32158930262848	1.93715652682892E-12
19109	Prl	mRNA	-1.81972250763476	6.07163188627042E-5
19366	Rad54l	mRNA	1.17378491104825	1.26370106215308E-5
19695	Reg3g	mRNA	-3.16720723526786	1.67376483241544E-8
20199	S100a5	mRNA	-3.690308679479	2.3738727289150002E-198
20201	S100a8	mRNA	1.26257257446854	1.13423464651043E-54
20202	S100a9	mRNA	1.11127470474481	1.3851449189935001E-61
20274	Scn9a	mRNA	1.16557640399687	1.38756900628379E-10
20378	Frzb	mRNA	-1.16410722224397	4.09613482777771E-93
20508	Slc18a3	mRNA	1.01559495117142	1.62849135120067E-26
20558	Slfn4	mRNA	1.73163039119262	2.93294359302073E-29
20715	Serpina3g	mRNA	1.13596465236385	2.15598843312456E-5
208080	Ubap1l	mRNA	1.2796082027442	9.96251838913442E-17
208188	Ghsr	mRNA	1.55525878920323	1.439240260264E-5
213002	Ifitm6	mRNA	1.9693315976799	6.567878211184871E-14
21333	Tac1	mRNA	1.35523156383021	9.41471631920355E-78
214084	Slc18a2	mRNA	1.08119422241919	9.53215781951216E-76
214189	Scgn	mRNA	-1.01789440922829	3.02913450655191E-41
216227	Slc17a8	mRNA	1.07352644559073	2.06918560463811E-8
216343	Tph2	mRNA	1.91141573579645	1.03569314831181E-113
22044	Trh	mRNA	-1.28959732185728	7.25650049338486E-132
22226	Ucn	mRNA	3.58901547757943	8.12068379313701E-19
22349	Vil1	mRNA	1.14295108267996	6.466588766665E-4
224055	Rtp2	mRNA	-3.39183812880031	1.94006757334509E-8
226359	C1ql2	mRNA	1.25681904723824	4.94445204479718E-17
227627	Obp2a	mRNA	-5.2135008875418	4.84226976869603E-5
229277	Stoml3	mRNA	-3.45415133839502	5.5770766599273E-102
230899	Nppa	mRNA	-1.89586440228681	9.06386490091969E-20
231290	Slc10a4	mRNA	1.13907877830973	6.81574157552873E-32
231507	Plac8	mRNA	1.47921146857469	4.276138031325E-4
231655	Oasl1	mRNA	1.4673860331779	2.201504019561E-4
232798	Leng8	mRNA	1.02684511491766	0.0
232974	Erfl	mRNA	1.13977962604802	5.437292598977E-4
237987	Otop2	mRNA	-1.03443207259899	3.70408503716354E-19
238726	Fam81b	mRNA	-2.2135008875418	3.99978648876377E-5
23892	Grem1	mRNA	-1.30661029193328	5.53272875078414E-7
239126	C1qtnf9	mRNA	2.18126801423106	2.374201080695E-4
239659	C1ql4	mRNA	1.65240418385091	2.30431520554045E-18
241769	Kcnk15	mRNA	-1.3107088601469	4.4692192558454197E-11
242653	Cldn19	mRNA	-1.14489707354277	5.3001331560013195E-11
243369	Sspo	mRNA	1.10154082176033	2.14448563873677E-6
245195	Retnlg	mRNA	1.29529319505287	1.7787364118166E-15
245440	Gm4988	mRNA	1.02021276668209	3.54694592711298E-12
245526	Pgr15l	mRNA	1.13977962604802	5.437292598977E-4
260298	Fev	mRNA	1.06042183443473	2.87275570939557E-5
269016	Sh3rf2	mRNA	1.77985379881619	8.68736407895541E-6
26927	Foxl2	mRNA	1.11688878609376	6.223655065E-4
27220	Cartpt	mRNA	1.91818636036501	1.38796862210561E-72
278795	Lrrc10b	mRNA	1.43103140708365	1.61017965524603E-22
319158	H4c9	mRNA	-1.11532049360289	8.225382153962E-4
320116	Fndc9	mRNA	1.23556649800964	9.066421576621749E-16
320145	Sp8	mRNA	-1.01837738884727	3.44928215287556E-101
331374	Dgkk	mRNA	1.12462443487337	3.0771381671516002E-21
338417	Scgb1c1	mRNA	-3.6660130922393	1.05807754793771E-5
353326	Rtl1	mRNA	1.01972433839443	0.0
353328	Muc6	mRNA	1.69338970806672	1.06832070333818E-5
381339	Tmem182	mRNA	-1.47253336281809	2.548741557009E-4
381399	Bpifb4	mRNA	-2.55053587481937	1.23097969068222E-5
381823	Apold1	mRNA	-1.18682667572219	9.08724880017331E-41
433492	Bpifb9b	mRNA	-1.13898624837048	1.0015701411626E-9
53315	Sult1d1	mRNA	-5.48913533015522	5.72621500119796E-6
54483	Mefv	mRNA	1.58696764893057	4.420863247319E-4
56619	Clec4e	mRNA	1.0109676530778	2.67283546978734E-5
58207	Slc43a3	mRNA	-1.0702707527649	1.04238777462759E-8
60425	Doc2g	mRNA	-1.28167139486285	0.0
626578	Gbp10	mRNA	-1.35633067995415	3.415867661612E-4
628923	Gm14744	mRNA	-2.72898494856822	9.310409576682E-4
