GeneID	GeneSymbol	Type	LFC	FDR
100034251	Wfdc17	mRNA	1.02964577777478	4.61348536969015E-6
100039175	Gm9780	mRNA	1.30813730325682	3.30738559043865E-5
100039192	Tmem254c	mRNA	-1.04503208596537	7.22108839820214E-13
100039293	Duxbl3	mRNA	1.89930875803948	2.489764843172E-4
100039781	Hrct1	mRNA	1.31349905837397	3.85916387941885E-8
100039953	Gfy	mRNA	-1.74587948870497	5.70946266120278E-9
100041546	Ly6c2	mRNA	1.10885273739173	1.26402309645E-4
100043920	Fam205a4	mRNA	2.06686506061695	2.01490922410141E-35
100384868	Gm37013	mRNA	-1.78214679406161	6.51566015811059E-6
100504239	Gm10591	mRNA	1.29924033504485	7.51380591673517E-6
100504263	2210418O10Rik	mRNA	1.27761330649052	7.43046795235979E-26
100504346	Gm13304	mRNA	1.29924033504485	7.51380591673517E-6
100862177	Ccl21d	mRNA	1.29924033504485	7.51380591673517E-6
100862468	LOC100862468	mRNA	-5.81936805525525	1.74625132406853E-7
101488212	Evi2	mRNA	-5.39535897215832	8.27127852585731E-6
102635781	Gm38481	mRNA	1.49157808185937	4.86579103054229E-32
103611159	Gm38667	mRNA	5.1226079780427	5.57125428431398E-5
107303348	Gm45935	mRNA	1.62251354056462	7.89175222745554E-7
109729085	Htd2	mRNA	1.6925296623868	2.47138617821402E-8
11522	Adh1	mRNA	1.1014016177654	7.78625177354626E-5
11552	Adra2b	mRNA	1.07131589157611	1.668039283635E-4
12182	Bst1	mRNA	1.30785249523282	2.571956491124E-4
12642	Ch25h	mRNA	1.10907263111833	2.12045710338805E-10
12655	Chil3	mRNA	1.54144312317414	8.60710470221401E-15
12869	Cox8b	mRNA	1.17856947828786	9.27606973126501E-5
13087	Cyp2a5	mRNA	-2.87205659478211	4.15884415918237E-10
13162	Slc6a3	mRNA	-1.16879819445318	4.42201721960064E-12
13363	Dhh	mRNA	-1.44034035435664	9.027648682509E-4
14275	Folr1	mRNA	1.15969146808217	5.4429633312444795E-40
14559	Gdf1	mRNA	3.51577297986374	0.0
15077	H3c14	mRNA	-7.33203081796698	1.9944297258727598E-18
15227	Foxf1	mRNA	1.37294752345471	4.69741598408703E-5
15414	Hoxb6	mRNA	-2.27041535291432	3.44795708315746E-6
15567	Slc6a4	mRNA	-1.21305663438093	4.1320978690694306E-9
16176	Il1b	mRNA	1.14222763122414	4.26515479424545E-21
16668	Krt18	mRNA	1.28210708239627	1.94957933970067E-20
16691	Krt8	mRNA	1.29880735562982	1.0145677949645402E-9
16819	Lcn2	mRNA	1.45597600162879	3.06038026057809E-104
17394	Mmp8	mRNA	1.34667174412335	1.50305430248493E-7
17703	Msx3	mRNA	-2.55012849989475	5.25735287206992E-5
18249	Obp1a	mRNA	-5.4063930224333	7.57696864275247E-6
18378	Omp	mRNA	-1.12793181124001	1.09289259543452E-133
18509	Pax7	mRNA	-1.46153457662576	5.71743990846758E-5
18703	Pigr	mRNA	-2.67704061237697	9.357843852493E-4
18843	Bpifa1	mRNA	-2.59903810037569	1.0006393749218099E-13
18976	Pomc	mRNA	2.59590110821995	1.28119126424327E-140
20201	S100a8	mRNA	1.206874847508	3.79790131752581E-50
20202	S100a9	mRNA	1.00984302725168	2.71120647086064E-50
20271	Scn5a	mRNA	-1.00810169860991	6.78628632084681E-10
20303	Ccl4	mRNA	1.01017194659214	2.15494968448985E-5
20431	Pmel	mRNA	-1.32383875763517	4.53034106271909E-8
20568	Slpi	mRNA	1.07556161283014	2.311261367193E-4
20689	Sall3	mRNA	-1.0304937695824	1.2019762936397901E-74
209047	Gipc3	mRNA	1.00087474181143	1.707234259517E-4
211468	Kcnh8	mRNA	-1.61017865798089	6.14183252502978E-11
213002	Ifitm6	mRNA	1.35789317773242	3.67649712285268E-6
21336	Tacr1	mRNA	-1.09032863282969	5.7492634919171E-28
21390	Tbxa2r	mRNA	1.0243985481601	7.790978697619E-4
214593	Duox2	mRNA	-1.18400060109685	9.81250835647065E-6
216835	Usp43	mRNA	1.2722285855021	2.64697734343211E-6
216984	Evi2b	mRNA	1.77600133097123	3.27214769392685E-8
21946	Pglyrp1	mRNA	1.01966003820519	3.23383096826783E-25
22139	Ttr	mRNA	1.02443002936267	0.0
224055	Rtp2	mRNA	-1.98090873571934	2.2892125008631E-5
224224	Impg2	mRNA	-1.05254974746917	5.378032403721E-4
227627	Obp2a	mRNA	-5.26200311309812	2.28946769722692E-5
229277	Stoml3	mRNA	-1.10613615264331	1.14648057570383E-24
231507	Plac8	mRNA	1.62335432096075	2.79332758274503E-5
231655	Oasl1	mRNA	1.64127622895802	6.8194348537086E-6
231832	Tmem184a	mRNA	1.59735911242781	4.16096281378327E-5
232714	Mgam	mRNA	-1.1396064817384	3.114606957016E-4
234788	Slc38a8	mRNA	-1.62705247654529	5.01375845357068E-5
238680	Cntnap3	mRNA	-1.07820593707425	3.53425225034608E-16
239126	C1qtnf9	mRNA	2.03655047341543	5.156179856983E-4
24111	Uts2	mRNA	1.45059266734891	1.79935736845386E-5
245195	Retnlg	mRNA	1.33105988639415	4.38829368809205E-17
246133	Kcne2	mRNA	1.02014011568337	1.03928057898873E-29
246256	Fcgr4	mRNA	1.14558106633395	1.02004024792159E-5
268958	Capn11	mRNA	1.66818410242153	5.41739449175629E-12
27083	Xlr4b	mRNA	-3.13137950905881	2.7461331011068E-7
27421	Abcc6	mRNA	1.29525245845319	4.2241457722E-4
278672	Duxbl1	mRNA	-1.50218325028507	7.36179132375737E-5
319765	Igf2bp2	mRNA	-1.22218379498474	2.304696032727E-4
332942	Ldc1	mRNA	1.21622201976726	5.274627591586E-4
338417	Scgb1c1	mRNA	-2.12955281707447	6.911203804457E-4
381359	Prdm12	mRNA	-3.01407559965454	6.08849834812235E-5
381399	Bpifb4	mRNA	-1.86207250620949	2.319632923295E-4
381546	Ccdc24	mRNA	1.07818290819745	1.32495343980591E-5
381917	Dnah3	mRNA	-1.10718500404602	9.794981169497E-4
433492	Bpifb9b	mRNA	-1.86094120245351	4.0696924070496504E-20
52670	Cpsf4l	mRNA	1.11677187980508	1.80653007131883E-8
545490	Zfp973	mRNA	-1.08437861872829	9.196308477336E-4
57274	Slc16a8	mRNA	1.0580741861013	1.74594540282328E-7
574437	Xlr3b	mRNA	-1.48060244358871	2.96657988998437E-39
628705	Phf11c	mRNA	-4.73981675615849	6.045066304658E-4
628923	Gm14744	mRNA	-5.3624496748457	1.07080022174129E-5
628991	Obp1b	mRNA	-5.90743781041841	6.86058747426158E-8
65956	Ccl21c	mRNA	1.29924033504485	7.51380591673517E-6
66528	Smim5	mRNA	1.15584940178777	7.367156159295E-4
667118	Zbed6	mRNA	-1.1022065099332	1.5391959700782798E-12
67666	Hapln3	mRNA	-1.20962640877235	1.648864893233E-4
68713	Ifitm1	mRNA	1.1368662984202	3.63127268094379E-21
71351	5430402E10Rik	mRNA	-6.16909617801311	3.1296793093148404E-9
71425	Bpifb9a	mRNA	-1.88700090250534	2.45996042191656E-6
71872	Aox4	mRNA	-1.18992543505396	6.273035566811E-4
71877	Efhc1	mRNA	3.1438767601217	4.14472206910597E-186
74399	Duxf3	mRNA	1.98592440034546	8.20683183977E-4
75600	Calml4	mRNA	1.29880735562982	1.0145677949645402E-9
76747	Dapl1	mRNA	1.28360494898615	3.638551625136E-4
76905	Lrg1	mRNA	1.46438727976594	3.08705558434647E-50
93898	Cers1	mRNA	-1.00592913729957	2.78397307581879E-282
