Gene ID	Gene Symbol	Type	log2 (exp / control)	log2 (happy / control)	log2 (happy / exp)	Qvalue (exp / control)	Qvalue (happy / control)	Qvalue (happy / exp)
100009600	Zglp1	mRNA	-0.398532781374316	-0.0410426472548074	0.357490134119509	0.322350491842299	0.927982573966775	0.347812518171273
100017	Ldlrap1	mRNA	0.237160521467769	0.193050065028599	-0.0441104564391701	0.0020034315955629	0.010087655818885	0.622752296396446
100019	Mdn1	mRNA	0.0935256661820786	-0.419731070332802	-0.513256736514881	0.0736727109661106	1.16803319097252E-18	5.17475621175265E-28
100033459	Ifi208	mRNA	-0.828069850348276	-0.014075599654538	0.813994250693738	0.230985979664327	0.998197639928169	0.206262760085623
100034251	Wfdc17	mRNA	0.844948827038076	1.02964577777478	0.184696950736703	6.411629631766E-4	4.61348536969015E-6	0.437738037462261
100034361	Mfap1b	mRNA	0.250484172188161	-0.081720892554053	-0.332205064742215	9.69783139977292E-7	0.16802012070212	2.3326661466859297E-11
100034363	Tmsb15b2	mRNA	0.180446737674192	0.487906926058099	0.307460188383906	0.640819431256721	0.0808187610826921	0.29219500811796
100034748	A930017K11Rik	mRNA	0.111617429865236	0.293538316643079	0.181920886777843	0.0413089843560876	1.17070119721915E-10	8.63594211574562E-5
100036521	Umad1	mRNA	0.0658395785332508	-0.0877578459158904	-0.153597424449141	0.28729115138907	0.11520747752554	0.0030772463317705
100036568	Gm3373	mRNA	0.677976524930744	0.90146632122452	0.223489796293775	0.129683629057267	0.0180517836841803	0.587525772902336
100037258	Dnajc3	mRNA	0.0655651377106944	-0.0097104070931347	-0.0752755448038293	0.06249942470519	0.819620080514583	0.0208752446875639
100037278	Niban3	mRNA	0.111732352069238	-0.339316428582736	-0.451048780651974	0.708717807881915	0.17062253017235	0.0553028192494879
100037282	Rsph3b	mRNA	0.121575642518926	-0.103370901468635	-0.224946543987561	0.200633539820195	0.267901937290775	0.0068133797901088
100037283	Rnaset2a	mRNA	0.0213880876783718	0.151630520018006	0.130242432339634	0.775169110490726	0.0021884507314707	0.0100349892287673
100038347	Fam174b	mRNA	-0.133644836170914	0.19882860147797	0.332473437648883	4.846113455858E-4	2.8604700050603503E-9	6.88125626380121E-23
100038417	Spink13	mRNA	2.2043516273441	0.570886901066618	-1.63346472627748	0.0692480901004974	0.757736950427362	0.123085776130103
100038489	Apela	mRNA	-0.96557337409821	0.307852495232824	1.27342586933103	0.5913990484363	0.829274045973598	0.385490070212268
100038514	Gm11837	mRNA	0.0546418508113555	0.0227095233512374	-0.0319323274601181	0.864916676524248	0.944860933314814	0.920969921339132
100038538	Gm10767	mRNA	-0.116133050673592	-0.121990938821426	-0.0058578881478334	0.706454360310967	0.654243819041687	0.990744213714948
100038570	Prcd	mRNA	4.792939784523E-4	0.14462214636452	0.144142852386068	0.998354316496306	0.459536792690031	0.468697929202681
100038599	Gm10710	mRNA	0.302455221200199	-0.58968813219311	-0.892143353393309	0.556172400461229	0.234697972370759	0.045196261122449
100038725	Cep85l	mRNA	0.14125079369012	-0.15873384248642	-0.29998463617654	0.050184385268917	0.023972176043626	3.82135486593683E-6
