Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Gnai3	628.978077893571	0.129011712858491	0.182057496044116	0.708631699664971	0.478553059393185	1
Cdc45	45.3649911534276	0.0951355989991715	0.394553109177767	0.241122416187342	0.809460239648294	1
H19	19.8179596095889	-0.368732953846985	0.55724265555618	-0.661709849686497	0.508157191023592	1
Scml2	13.796287383031	0.570057570958906	0.747827711426462	0.76228463086977	0.445890144708756	1
Apoh	9.63608275260908	0.882193831516448	0.80894869544769	1.09054361108552	0.275473753489916	1
Narf	761.570625236693	0.187986984226943	0.145968791535406	1.28785737176803	0.197795616736066	1
Cav2	312.855353097682	-0.00586512964941487	0.226906008580693	-0.0258482782633281	0.97937835421128	1
Klf6	514.258205485379	-0.0270048931184925	0.193543255456126	-0.139528980510582	0.889032156783648	1
Scmh1	595.365885517783	0.094856931123291	0.164398971686922	0.576992241191962	0.563944696851148	1
Cox5a	3416.86641047134	0.00506860783731706	0.204368731603062	0.0248012883260519	0.980213463440058	1
Tbx2	23.4855111926425	-0.100879536787783	0.519541790736288	-0.194170206490643	0.846042610658716	1
Tbx4	1.12577235037072	0.752415581423875	2.21649316688185	0.339462170543195	0.734261590496998	1
Ngfr	96.0794904359707	0.0878796531839313	0.29788271112412	0.295014278782074	0.767982972009865	1
Wnt3	169.331819358575	-0.115229669452583	0.285696415608805	-0.40332906944959	0.686706159404459	1
Wnt9a	89.6650009714737	-0.602518360125541	1.00232423637868	-0.601121212335836	0.547759255870952	1
Fer	162.116047089523	-0.118814596890697	0.243182939447778	-0.488581136326842	0.625138270637947	1
Xpo6	1215.00860593578	0.136715296117462	0.168229617783488	0.812670788406686	0.41640683369707	1
Tfe3	615.227292533613	-0.0580486109042421	0.166449201602675	-0.348746706774887	0.727279476094046	1
Axin2	232.690255652841	0.123385268044775	0.21478733176344	0.574453190659623	0.5656611676984	1
Brat1	239.360102789598	0.0679469762848718	0.219986293769596	0.308869135074554	0.757421076225783	1
Gna12	1445.02078263696	0.000372009043981605	0.184441973519881	0.00201694352365789	0.998390712993575	1
Slc22a18	21.7781885122579	-0.561128197333954	0.532010721637535	-1.05473099415515	0.291548372330061	1
Itgb2l	2.72102893717958	-0.144394666400362	1.63869747947976	-0.08811551137932	0.929784868036171	1
Igsf5	6.61030889143316	0.137425404081905	0.987885089965119	0.139110717914325	0.889362658907683	1
Pih1d2	24.692462150951	-0.270335813103728	0.487607015611631	-0.554413296873163	0.579296028098713	1
Dlat	2079.88871178001	-0.0139857489140267	0.145353623278528	-0.0962187842213406	0.923346812380467	1
Sdhd	1953.8138203732	0.0433703989040644	0.173386802277179	0.250136679000122	0.802481651617145	1
Fgf23	5.29101049017645	-0.904540879765422	1.03493090173504	-0.874010891209239	0.382112322556442	1
Ccnd2	275.274064339917	-0.0566866107737161	0.586702273275186	-0.0966190406205022	0.923028935011233	1
Gpr107	933.388943683582	-0.0866222163132138	0.144257515309264	-0.600469349049236	0.548193482249731	1
Nalcn	1500.20129052606	-0.00591632087133255	0.15606755737573	-0.0379087170377705	0.969760462855236	1
Btbd17	509.500599141604	0.300618050001654	0.18816380268504	1.59764017155226	0.11012308075093	1
Slfn4	24.0955439338085	-1.13271355973279	1.29878623447821	-0.872132403056965	0.383136150860646	1
Th	823.912181124349	1.05475671511635	0.22570845261992	4.6730935544204	2.96696534427765e-06	0.0122332926086808
Ins2	4.69387622428014	-0.424752181874142	1.17113443176439	-0.362684394168332	0.716840658743912	1
Scnn1g	14.2104570571637	0.263438576349808	0.74755586982313	0.352399849943172	0.72453841450422	1
Drp2	575.027341734033	-0.0869880948741181	0.205814494320472	-0.422652909656934	0.672548517514999	1
Tspan32	4.12226710246042	-0.668265614139536	1.10824047399034	-0.602996939584216	0.546510725147849	1
Lhx2	319.272155375654	-0.23985601757523	0.634107888974608	-0.378257425503871	0.705239369432489	1
Clec2g	1.37746436392539	-2.13235149140746	2.49385306864332	-0.855042952697884	0.392527369357643	1
Gmpr	772.099484593587	-0.191217197241251	0.170905765665147	-1.11884579491542	0.263205931008601	1
Glra1	83.9151449765387	-0.611260886120732	0.458147374899882	-1.3342014373744	0.182137848605036	1
Mid2	442.583271652254	0.0648159207441475	0.203961305095613	0.317785379505015	0.750647741734758	1
Trim25	100.780463364517	-0.241511817778839	0.267334065696809	-0.903408314796455	0.36630922867381	1
Dgke	1167.34215930452	-0.0223075495952536	0.179457042014451	-0.124305791206885	0.901073162147716	1
Scpep1	244.781397664221	-0.0319677889316572	0.221111810955958	-0.144577482285759	0.885044476945288	1
Mnt	445.687647820599	-0.259749907817367	0.24808491582334	-1.04702015822007	0.295090281061161	1
Itgb2	118.536779709601	-0.0606460667666469	0.306694376537533	-0.197741045829789	0.843247673815745	1
Hddc2	252.648460318185	0.203660508526817	0.241600861479337	0.842962675214778	0.399249318902732	1
Tpd52l1	260.308065524782	-0.211352919455298	0.233888415660354	-0.903648514863681	0.366181807358632	1
Pemt	43.12274555661	0.25816794941487	0.423325341972134	0.609857062211657	0.541956497881457	1
Cdh1	82.9656733375204	-0.714990730548282	0.28299336876844	-2.52652821392902	0.0115196135184968	1
Cdh4	365.889645572375	-0.297942798302801	0.220542865133752	-1.350951880135	0.176710847611557	1
Ckmt1	4249.36726290103	-0.18421478244327	0.169784504922698	-1.08499172246102	0.277925321433484	1
Bcl6b	28.4901977704844	0.000210671184468736	0.468414472063288	0.000449753790784399	0.999641148406269	1
Clec10a	25.2415169904559	0.364767447710187	0.609484265469544	0.598485421816708	0.549516083320044	1
Alox12	19.8283779550685	0.296892889826584	0.566764419988633	0.523838263934315	0.600391037115886	1
Arvcf	656.450771594888	0.0785215833955247	0.167881499204681	0.467720289415521	0.639984629743341	1
Comt	930.632235001519	0.108199717831375	0.166701970473849	0.64906082107979	0.51629906439624	1
Rtca	1134.35250833948	-0.116041299914907	0.156517868739743	-0.741393304478612	0.458455002994442	1
Dbt	275.072220617331	0.00244194841731219	0.218949376829553	0.0111530274836689	0.991101356048706	1
Dazap2	2819.36622953272	0.027814567151082	0.141590369125255	0.196443920041456	0.844262722667613	1
Mcts1	752.198192012131	0.0213088622403319	0.182969855750312	0.11646105394219	0.907287150465383	1
Rem1	8.06489500251371	-0.214848164828418	0.8142579964242	-0.263857605048916	0.7918896444915	1
Rnf17	17.1814359515854	0.985400313714571	0.641495653420799	1.53609819249731	0.124514299541221	1
Trappc10	1239.27977313189	-0.0719150303818478	0.182829945456528	-0.393343826703417	0.69406555248081	1
