Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Gnai3	628.978077893571	-0.33594358611405	0.161703464426451	-2.07752868688135	0.0377527903867562	0.110821446133578
Cdc45	45.3649911534276	0.233509182264209	0.354960605347395	0.657845346065027	0.510637512802482	0.692025722529451
H19	19.8179596095889	-0.376361620536031	0.500376612206552	-0.752156698284433	0.451956830547804	0.639538208849444
Scml2	13.796287383031	-0.286814409698922	0.640209940924041	-0.448000556325244	0.654152795106057	0.799671583351097
Apoh	9.63608275260908	1.06682982937659	0.726965185796801	1.46751158132459	0.142236941110096	0.29181645807319
Narf	761.570625236693	-0.530810419931896	0.128708206409103	-4.12413811629616	3.72125557625428e-05	0.000421940765606219
Cav2	312.855353097682	-0.157805825555597	0.202435349222551	-0.779536904802679	0.435663506889674	0.624295637811069
Klf6	514.258205485379	-0.0789535395806101	0.173018627650459	-0.456329706533773	0.648152905141075	0.795151140340223
Scmh1	595.365885517783	-0.152241549237653	0.146341291669631	-1.04031847403221	0.298191964037541	0.485139556566913
Cox5a	3416.86641047134	0.981179313556167	0.183232889558645	5.35482093809439	8.56411851194313e-08	2.61505435639369e-06
Tbx2	23.4855111926425	0.185513498626104	0.471595554004917	0.393374146661633	0.694043161702672	0.827325910726034
Tbx4	1.12577235037072	1.31319805453379	2.05233782366073	0.639854725374332	0.522267050373617	NA
Ngfr	96.0794904359707	-0.332501265396299	0.262428844700593	-1.26701493418398	0.205149949988216	0.376802413542071
Wnt3	169.331819358575	-0.217482726878597	0.255186683815424	-0.852249512501606	0.394075621269138	0.583886938456791
Wnt9a	89.6650009714737	0.355139749972985	0.899626762308555	0.394763433961937	0.69301748319148	0.827088720378969
Fer	162.116047089523	-0.465476044180554	0.215524004684645	-2.1597410685721	0.0307927200171948	0.0951358005544867
Xpo6	1215.00860593578	-0.362479470750107	0.149785980701139	-2.4199826248983	0.0155212487108822	0.0557637089300136
Tfe3	615.227292533613	-0.0931609487136009	0.148847807606651	-0.625880556869137	0.531393288383796	0.707249162597355
Axin2	232.690255652841	-0.442885959241246	0.188968354960791	-2.34370436961861	0.0190932986377971	0.0655640668749553
Brat1	239.360102789598	-0.426735595620368	0.194244721183053	-2.19689674458757	0.0280278214094915	0.0884738653549798
Gna12	1445.02078263696	-0.204221627008131	0.164779357866845	-1.2393641391245	0.215210675639807	0.389476821800578
Slc22a18	21.7781885122579	-0.0370326837135372	0.489428285303246	-0.0756651890084203	0.939685471715638	0.971796820074156
Itgb2l	2.72102893717958	0.99745450606835	1.54475720301713	0.645703094389319	0.518471656211263	NA
Igsf5	6.61030889143316	0.676097156384174	0.90733550650334	0.745145705792662	0.456183641130623	NA
Pih1d2	24.692462150951	0.604239729897902	0.457337710423004	1.32121125401845	0.186430934881805	0.352039229540329
Dlat	2079.88871178001	-0.0103454992992873	0.130024080210165	-0.0795660256359075	0.936582417132039	0.969563990008793
Sdhd	1953.8138203732	0.387620770327885	0.155370213914801	2.4948203427231	0.0126020917615086	0.0473464051959254
Fgf23	5.29101049017645	-0.415102983742176	0.954810033563724	-0.434749289544905	0.663744417007503	NA
Ccnd2	275.274064339917	-0.437505593801445	0.524194401576759	-0.834624697412723	0.403929052018592	0.593522705549219
Gpr107	933.388943683582	-0.121437669848073	0.129018252282817	-0.941244108483761	0.346579777619558	0.536411762467325
Nalcn	1500.20129052606	-0.353080733441634	0.139218245535715	-2.53616709564879	0.011207324380392	0.0430377451031176
Btbd17	509.500599141604	0.469675111655477	0.16869854683759	2.78410881693986	0.00536750231941553	0.0242149812861059
Slfn4	24.0955439338085	0.80764907645539	1.18126490678347	0.683715457741467	0.49415486057245	0.677140142484071
Th	823.912181124349	-0.611617658968725	0.19825064596457	-3.08507271687795	0.00203502392352778	0.0110053058478094
Ins2	4.69387622428014	1.20199601685915	1.14264681095735	1.05194011424411	0.29282702601332	NA
Scnn1g	14.2104570571637	-0.861621095704915	0.636646153259864	-1.35337516969685	0.175935805806299	0.339391986504231
Drp2	575.027341734033	-0.296355259542359	0.183697884950126	-1.61327529504664	0.106684711384179	0.237903968955305
Tspan32	4.12226710246042	0.597585546476609	1.07133521175129	0.557795113911872	0.576984299571175	NA
Lhx2	319.272155375654	0.28300449451182	0.567923365952367	0.49831458164649	0.618262331801532	0.774387343639477
Clec2g	1.37746436392539	-2.70794562036441	2.24105043339793	-1.20833765274018	0.226917410954104	NA
Gmpr	772.099484593587	0.402852313424138	0.154178639942528	2.61289315805552	0.00897793637566935	0.0362020516709371
Glra1	83.9151449765387	-1.13255416751081	0.407801757727046	-2.77721747405723	0.00548264815406583	0.0246039260697498
Mid2	442.583271652254	-0.40864097824327	0.181028211393119	-2.25733312558599	0.0239872669710433	0.0785625720476613
Trim25	100.780463364517	-0.168073733074806	0.240392671318803	-0.699163298750943	0.484449983946677	0.668467088022479
Dgke	1167.34215930452	-0.283954906218892	0.160205982944806	-1.77243634101181	0.0763221537614603	0.18747648630487
Scpep1	244.781397664221	-0.139272864972228	0.197338605291435	-0.705755798600817	0.480340014322522	0.664629268109132
Mnt	445.687647820599	-0.573513969542854	0.221360738650129	-2.59085677541635	0.00957373267849519	0.0380888995078003
Itgb2	118.536779709601	-0.203190820747782	0.273474664045217	-0.742996874892169	0.45748357246837	0.644627199218868
Hddc2	252.648460318185	1.40346468056146	0.222834153059789	6.29824764871163	3.01029302564111e-10	2.05618730040578e-08
Tpd52l1	260.308065524782	0.32084185177661	0.211749300146838	1.51519675179149	0.129722585432184	0.273431866777863
Pemt	43.12274555661	0.770719494420295	0.386724094823953	1.99294407753711	0.0462675710247376	0.12898194525303
Cdh1	82.9656733375204	-0.615259707003065	0.255932989953217	-2.4039874934276	0.0162173280956182	0.0577884593023831
Cdh4	365.889645572375	-0.715470201891235	0.196259339238876	-3.64553454967259	0.000266836560762048	0.0021407340686042
Ckmt1	4249.36726290103	0.15950082021815	0.152002399853524	1.04933093406323	0.294025833425635	0.480198902909852
Bcl6b	28.4901977704844	0.51670889729973	0.4300771872548	1.20143293485968	0.229583306891805	0.407849684940027
Clec10a	25.2415169904559	0.932714427662353	0.556053649461509	1.67738208096576	0.0934677910931554	0.216385307049273
Alox12	19.8283779550685	-0.306432683504958	0.490413847779578	-0.62484508725106	0.532072735654615	0.70793186951527
Arvcf	656.450771594888	-0.163096089928409	0.14955873709862	-1.09051529246908	0.275486220685208	0.459494914329118
Comt	930.632235001519	0.460189569825205	0.149738886373786	3.07328030126026	0.00211719518811011	0.0113737383952548
Rtca	1134.35250833948	0.404415220662558	0.140847958116103	2.87128919774038	0.00408801338639023	0.0194214892948952
Dbt	275.072220617331	0.227664664942671	0.196905625408767	1.15621209130034	0.247594415272603	0.427987260456062
Dazap2	2819.36622953272	-0.0192674818029804	0.126614689193109	-0.152174142872114	0.879049587428638	0.938476893037868
Mcts1	752.198192012131	0.653848414228279	0.16500818080625	3.96252119763697	7.41624200780949e-05	0.000741101316503078
Rem1	8.06489500251371	0.128653265133053	0.743951436260544	0.172932343245046	0.862704608410409	0.929310278031809
Rnf17	17.1814359515854	0.843473765387878	0.564679065346206	1.4937223941014	0.135248192823715	0.281313594661336
Trappc10	1239.27977313189	-0.68094389912496	0.16287131905331	-4.18087053683208	2.90395176387692e-05	0.000345629192442398
Ccm2	830.326763846278	0.253109750285439	0.172800839386209	1.46474838423521	0.14298957891094	0.29286849348636
Tbrg4	495.296922018297	-0.0243865404397497	0.145922859173124	-0.167119398413221	0.867276102930651	0.931664089275673
Tmprss2	5.83569536839367	0.502636696670422	0.865876703873707	0.580494537411338	0.56158116944164	NA
Mx1	6.39693546372817	-0.667503519414355	0.826987050746196	-0.807151114170484	0.419579426522161	NA
Fap	34.5075453423729	-0.00031212238898162	0.393883345201648	-0.000792423423797798	0.999367737650703	0.99977921780855
Gcg	2.04770354262626	-4.90869389001408	2.04730832926879	-2.39763294069499	0.0165013918255681	NA
Ndufa9	2790.41026181302	0.587346748242892	0.131515124768662	4.4660015285394	7.96950403626736e-06	0.000116548000557898
Egfl6	15.7312509733719	-0.500100204724811	0.530687095277823	-0.942363605926767	0.346006513506554	0.535914650916991
Lck	21.4434990517473	0.270049121898462	0.575031392813097	0.469625007040678	0.638622955133396	0.788859234760899
Tssk3	1.1099687780908	2.6750285314297	2.1548996543014	1.24137034691619	0.214468968231383	NA
Cttnbp2	965.65315357119	-0.534319496535324	0.16519439439828	-3.23448927236049	0.00121860498485109	0.00721658550917385
Galnt1	1053.89093711927	-0.243265516283395	0.128777265311478	-1.88904086210404	0.0588863535943295	0.154128978686158
Myf5	0.131458796360444	0	4.08052381408439	0	1	NA
Mkrn2	468.569425459537	-0.299444128175144	0.150701459102905	-1.98700218271059	0.0469221549651284	0.130209171422239
Pparg	77.6039382925238	-0.189697822894366	0.26675483283438	-0.711131719259773	0.477002615818481	0.661572249028845
Raf1	561.121182837449	-0.940572867644901	0.201798081129053	-4.66096041341142	3.14737260789397e-06	5.31056679712903e-05
Septin1	77.3592083727177	0.907598411715974	0.301724073821357	3.00804108940058	0.00262937584597033	0.013501697279611
Pdgfb	206.496697842964	0.269699033606919	0.326406632985269	0.826267012836994	0.408652641571336	0.598138048867924
Acvrl1	84.3821906864611	-0.231198870965457	0.329031155936771	-0.702665588938594	0.482264177262187	0.666640858816261
Grasp	313.240685068907	0.129041365298577	0.675281490710207	0.191092702930243	0.848452964514112	0.921545949323457
Acvr1b	1593.37953846648	-0.346511229559723	0.153450855802573	-2.25812510296806	0.0239378610038087	0.0784763184180376
Tom1l2	4592.00741147671	-0.435590919844472	0.141207319122656	-3.08476162957323	0.00203715350462886	0.0110082868161126
Zfp385a	2054.19120119017	-0.130380425525622	0.132564092804749	-0.983527460318057	0.325347907047577	0.514410821145783
Itga5	33.1613474362065	-0.159736418453492	0.400325926756503	-0.399015921221237	0.689881472995648	0.824561074680954
Gabra2	473.111401026304	0.00455187148819771	0.191384881834749	0.0237838613194537	0.981025013210437	0.991341775573829
Wdr77	901.407672614539	0.370749202453687	0.138028277476362	2.68603802954203	0.00723048586339198	0.0306139167449766
Adora3	15.3622780420337	0.827902386701587	0.609526145123698	1.3582721484959	0.174377344439861	0.337358303381509
Atp5pb	6844.56994152179	0.619606118149904	0.151823624743719	4.08109159029637	4.48246859060519e-05	0.000491223104310651
Sox9	664.667493610514	0.372974758524183	0.156401662396524	2.38472374787541	0.0170919507548377	0.0601614028224916
Hnrnpd	2872.13578317566	0.0935203746957853	0.134956288196918	0.692967893124975	0.488329700723439	0.672184489309182
Dynlt1c	20.4209677604917	0.315107629123029	0.466716769840412	0.675158146193839	0.499575294594266	0.682653301913825
C1d	1135.68186698009	0.706049927569242	0.154524347592038	4.56918238822335	4.89630554748941e-06	7.72314038508228e-05
Gm2a	1733.9987701776	0.33602077593151	0.135299055944847	2.48354117170251	0.0130083296013169	0.0485400767571739
Krit1	608.526515337858	-0.259231728445623	0.164340831686077	-1.57740304576775	0.114702815065961	0.250753917563222
