Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Gnai3	641.192027014473	-0.342183539237045	0.17897617963942	-1.9118943086529	0.0558897518352817	0.164089016300977
Cdc45	43.1875204128323	0.000677294562051685	0.408354312464851	0.00165859534570235	0.998676632987795	0.999255464112015
H19	20.7362637962452	-0.300965481573842	0.582127062021355	-0.517009947156178	0.605149215030018	0.771594436117441
Scml2	13.7821061558663	-0.342126545109139	0.754535936164997	-0.453426442281902	0.650241699516354	NA
Apoh	9.59244198450949	1.22665394809304	0.845063495472679	1.45155240365332	0.14662610121748	NA
Narf	787.019821526138	-0.497943360408919	0.143622334270119	-3.46703291615082	0.000526237444066691	0.00487910503041802
Cav2	325.667270351582	-0.0363578498406191	0.210091647044495	-0.173057093664076	0.862606550311011	0.931233878000429
Klf6	532.645184763042	0.0276918260175592	0.177528821877502	0.155984959088317	0.876044877004158	0.937791735842194
Scmh1	604.195606539205	-0.147370518136049	0.164216802064594	-0.89741437102204	0.369497846881937	0.577020241341641
Cox5a	3172.96312051137	0.768387597265095	0.160026198735479	4.80163625291898	1.57374370954832e-06	4.62216559834635e-05
Tbx2	23.9020249244576	0.23824828446292	0.551282918787205	0.432170626630432	0.665617406229629	0.811177162176622
Tbx4	1.14594796267826	1.55106237295516	2.39733955503557	0.646993192807078	0.517636349118591	NA
Ngfr	100.966196370688	-0.183606336683965	0.284264856223671	-0.645898825212133	0.518344880487727	0.706387545665978
Wnt3	171.757229521204	-0.253801361071558	0.284875779165601	-0.890919409908907	0.372972406505311	0.580474033844839
Wnt9a	100.155515154042	0.801429233174131	0.872890409432393	0.918132705450698	0.358549394279548	0.566309031099047
Fer	166.955972152901	-0.470277187677182	0.246512559309038	-1.90772100616433	0.05642728523087	0.165178756560494
Xpo6	1264.14145769512	-0.263843850585862	0.148953698359656	-1.7713145325791	0.0765084121344597	0.204316122264197
Tfe3	632.782626740631	-0.0258717370473736	0.159438218652871	-0.16226810150019	0.871094733053196	0.935626236216273
Axin2	242.757212138627	-0.346146373070849	0.20466622792271	-1.69127254938009	0.090784760317074	0.230703765300356
Brat1	250.900750390101	-0.306103048929233	0.203938214238043	-1.50095973956083	0.133365975117222	0.297973418952586
Gna12	1479.3709236253	-0.173587270852649	0.17660822799791	-0.982894584360494	0.32565932351282	0.531979273822821
Slc22a18	23.461335090592	0.216197552853154	0.535316848781086	0.403868388124593	0.686309503446536	0.825398092371436
Itgb2l	3.14178672804109	1.57041688777363	1.55510653267519	1.00984521302994	0.312569454616498	NA
Igsf5	5.94683789402665	0.297088097717831	1.1014466582485	0.269725361181134	0.787371548033093	NA
Pih1d2	23.3029938148104	0.33320033823662	0.537648317109033	0.619736596644174	0.53543121741695	0.718845640822633
