Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Gnai3	641.192027014473	0.464022555925027	0.179564292390836	2.58415829643371	0.00976169799003423	0.0400884877869564
Cdc45	43.1875204128323	-0.139296996135423	0.406509523077931	-0.342666009594856	0.731849736591843	0.847079300107897
H19	20.7362637962452	0.0070513041329521	0.574388819739259	0.0122761862533345	0.99020526654235	0.994432587444551
Scml2	13.7821061558663	0.855879726364787	0.777761884896282	1.10043927709176	0.271140773191429	0.459849024557601
Apoh	9.59244198450949	-0.186930960953929	0.88654358368056	-0.210853661788255	0.833001463675036	0.909629973605783
Narf	787.019821526138	0.717798437127014	0.144640808230118	4.96262739340493	6.95459214991831e-07	1.38942102976e-05
Cav2	325.667270351582	0.150925527370257	0.210944366419979	0.715475506322705	0.47431527059122	0.654820106580803
Klf6	532.645184763042	0.0511881838785562	0.1779965185834	0.287579691366672	0.773668492392731	0.874700778449733
Scmh1	604.195606539205	0.246151326143242	0.164764164108412	1.49396155089451	0.135185669097394	0.286059932251955
Cox5a	3172.96312051137	-0.977429253065578	0.159933907944933	-6.11145732399734	9.87254045389185e-10	4.65794267403677e-08
Tbx2	23.9020249244576	-0.286664971512619	0.55120526533463	-0.520069363522115	0.603015230629614	0.757860905389941
Tbx4	1.14594796267826	-0.562602929904885	2.50585204316402	-0.22451562191777	0.822356112631015	NA
Ngfr	100.966196370688	0.419635327893711	0.288076183879902	1.45668177855569	0.145204241873675	0.300531211207183
Wnt3	171.757229521204	0.101053029086121	0.284052813834253	0.355754367372985	0.722024525742181	0.839956371731274
Wnt9a	100.155515154042	-0.958352075828814	0.872525366925326	-1.098365860933	0.272044763395911	0.46103587031196
Fer	166.955972152901	0.34570762509956	0.245732637710891	1.4068445621224	0.159473485396128	0.320041207155773
Xpo6	1264.14145769512	0.498459845255569	0.149550633232678	3.33305071654253	0.000858992825009581	0.00573188100811427
Tfe3	632.782626740631	0.0339938419753605	0.159628118159828	0.212956478891295	0.831360908812619	0.90849003177321
Axin2	242.757212138627	0.565356933082926	0.206848417358039	2.73319438603359	0.00627233022678531	0.0283596262717294
Brat1	250.900750390101	0.493682802775007	0.205769170226447	2.39920685023764	0.0164306301111242	0.060606091898409
Gna12	1479.3709236253	0.203326410663549	0.176716539566219	1.15057940339172	0.249905310429533	0.435827346224712
Slc22a18	23.461335090592	-0.52487701250055	0.528530828267714	-0.993086844566588	0.320667634425189	0.513726993495729
Itgb2l	3.14178672804109	-1.13776013849082	1.58091564595614	-0.719684280057022	0.471719407215907	NA
Igsf5	5.94683789402665	-0.538902413875706	1.09193589668339	-0.493529350498094	0.621638606563635	NA
Pih1d2	23.3029938148104	-0.8758233996435	0.525286561120222	-1.66732496977598	0.0954498041587826	0.223246412135553
Dlat	2088.67122904917	-0.00475277700889763	0.140893279151792	-0.0337331705068573	0.973089927777773	0.985718989657762
Sdhd	1891.51074366355	-0.345525202615943	0.150649972854432	-2.29356299287098	0.0218156131414014	0.0751886856557338
Fgf23	5.80211805914984	-0.490857232877396	1.038301326365	-0.472750270478651	0.636391356922965	NA
Ccnd2	301.105921369646	0.380871342232644	0.296803234412482	1.28324525501406	0.199406165637508	0.373288699672456
Gpr107	953.256065418355	0.033784875748058	0.143712132501517	0.235087150680902	0.814141091531959	0.898167998124778
Nalcn	1519.962691455	0.346220151613941	0.148198100236454	2.33619831199954	0.0194809082468221	0.0691688200549368
